.	.	.	32	30	95	39	24
.	.	.	29	30	91	.	.
.	.	43	29	24	82	33	22
21	17	.	25	25	.	.	.
.	.	35	26	21	74	.	.
25	20	.	.	.	.	.	.
.	.	.	25	22	.	30	22
23	16	49	31	31	95	.	.
.	.	.	30	30	92	.	.
.	.	49	.	.	.	39	25
.	.	.	33	28	95	.	.
.	.	.	.	.	.	34	22
26	20	.	.	.	.	.	.
.	.	44	.	.	.	36	24
.	.	44	25	24	78	32	21
22	18	43	.	.	.	38	25
25	18	.	32	.	92	.	.
21	18	44	30	28	91	35	24
.	.	40	28	24	82	.	.
21	16	.	.	.	.	.	.
.	.	47	28	26	89	33	20
.	.	49	.	.	.	.	.
24	21	45	33	26	94	38	24
21	18	47	30	29	88	33	22
.	.	47	33	27	93	36	27
27	20	57	31	27	92	37	25
.	.	.	30	29	93	.	.
.	.	.	25	27	80	.	.
.	.	.	.	.	.	35	22
22	17	46	29	29	89	34	22
.	.	.	33	28	95	.	.
.	.	.	27	22	77	.	.
.	.	.	29	23	81	.	.
18	15	.	25	21	.	.	.
.	.	.	28	28	85	34	25
23	21	46	.	.	.	.	.
.	.	.	.	.	.	37	30
.	.	47	.	.	.	.	.
.	.	50	.	.	.	.	.
.	.	44	27	26	82	29	22
.	.	.	32	27	.	33	21
.	.	.	31	.	.	.	.
.	.	.	34	31	103	39	27
20	16	43	.	.	.	31	22
.	.	.	29	30	91	.	.
22	18	.	.	.	.	.	.
.	.	47	28	30	90	39	23
.	.	48	.	.	.	.	.
.	.	.	29	25	84	34	22
19	16	44	.	.	.	32	22
