21	17	46	27	28	86	.	.
.	.	48	28	24	83	31	20
24	19	.	.	.	.	.	.
.	.	48	.	.	.	33	21
.	.	41	.	.	.	.	.
.	.	.	.	.	95	.	.
27	22	52	36	33	.	42	33
.	.	.	.	.	.	35	24
.	.	.	32	27	.	.	.
.	.	50	32	27	91	.	.
.	.	48	28	31	91	35	23
23	19	.	31	32	99	39	26
.	.	.	.	.	.	31	19
21	16	42	27	28	86	34	21
.	.	41	26	24	.	.	.
26	20	.	.	.	.	.	.
25	.	.	35	28	99	42	32
21	16	.	26	29	.	32	22
.	.	.	.	.	.	29	18
.	.	.	29	25	84	.	.
.	.	.	33	.	.	.	.
